Rank,Priority,Lane,SKU,Product Title,Availability,Inventory Qty,Weight kg,After-Coupon Ref,Feed MAP,Planning Ad Floor,Why It Fits Elevation,Suggested Collection,Product Link,VEVOR Product Type,Publish Control
15,B — Strong Expansion,Power & Off-Grid,KZSCNDYZJ2046MZUY001V1,"VEVOR Portable Power Station, 2400W 2160Wh Power Station Solar Generator with 10 Output Ports & Adjustable Input Power, Expandable LiFePO4 Battery Backup for Home Camping RV (Solar Panel NOT Included)",in stock,140,24.50000,785.9,,785.9,Direct solar-system component and natural cross-sell with batteries and power stations.,Solar Panels & Charging,https://www.vevor.com/expandable-solar-power-station-c_44908/vevor-portable-power-station-2400w-2160wh-power-station-solar-generator-with-10-output-ports-adjustable-input-power-expandable-lifepo4-battery-backup-for-home-camping-rv-solar-panel-not-included--p_010633300742,Outdoors > Outdoor Power Equipment > Generators > Battery Generators > Expandable Solar Power Station ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
16,B — Strong Expansion,Power & Off-Grid,JJDCXT5000W13AWMP001V6,"VEVOR Home Power Station Backup Power, 5120Wh, LiFePO4 Lithium Battery, Support Communication, Bluetooth and WiFi, AC 5000W Inverter, Fast Charge, for Home Backup, Emergency, Solar System Components",in stock,47,31.00000,3111.99,,3111.99,"High-fit off-grid/home-backup product for camping, RV and emergency-power customers.",Portable & Home Power Stations,https://www.vevor.com/other-c_45583/vevor-home-power-station-backup-power-5120wh-lifepo4-lithium-battery-support-communication-bluetooth-and-wifi-ac-5000w-inverter-fast-charge-for-home-backup-emergency-solar-system-components-p_010194471362,Electrical > Batteries > Specialty Batteries > Server Rack Battery Lifepo4 ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
17,A — Core Launch,RV & Mobile,ZCJRQLS12V8KWCO9JV9,"VEVOR 8 KW Diesel Air Heater, Bluetooth App Control All-in-one Diesel Heater with Automatic Altitude Adjustment, Remote Control and LCD, Portable Parking Heater for RV Trailer Camper Van Boat",in stock,8536,9.48000,115.51,,115.51,Strong RV/off-grid climate-control product with broad mobile and garage use.,RV Heating & Climate,https://www.vevor.com/diesel-heater-c_10321/vevor-diesel-air-heater-all-in-one-12v-8kw-bluetooth-app-lcd-for-car-rv-indoors-p_010876414069,"Heating, Venting & Cooling > Heaters > Space Heaters > Gas Heaters > Diesel Heater ",LIVE VEVOR PRICE + STOCK CHECK REQUIRED
18,B — Strong Expansion,RV & Mobile,CYJRQDDKWS8KHTGEXV1,"VEVOR 8KW Diesel Heater, 12V/24V All in One Diesel Air Heater, Bluetooth APP Control, Remote Control and Display Screen, CO Alarm, Fast Heating Horizontal Portable Diesel Heater for Vehicles, Garage",in stock,10313,9.61000,143.56,,143.56,Strong RV/off-grid climate-control product with broad mobile and garage use.,RV Heating & Climate,https://www.vevor.com/diesel-heater-c_10321/vevor-diesel-air-heater-diesel-heater-8kw-12v-24v-bluetooth-app-remote-control-p_010918490318,"Heating, Venting & Cooling > Heaters > Space Heaters > Gas Heaters > Diesel Heater ",LIVE VEVOR PRICE + STOCK CHECK REQUIRED
19,A — Core Launch,RV & Mobile,MG12V570PSI12969RV0,"VEVOR Water Diaphragm Pump, 12V DC, 5.5 GPM Flow, 70 PSI Rated Pressure (40-100 PSI Adjustable), 1/2"" MNPT Self Priming Sprayer Pump with Pressure Switch for RV Camper Marine Boat Lawn, FCC Certified",in stock,2444,3.15000,64.9,,64.9,Core RV/mobile water-system component and useful repair/replacement SKU.,RV Water Systems,https://www.vevor.com/diaphragm-pump-c_11958/vevor-12v-water-pressure-diaphragm-pump-self-priming-pump-70-psi-5-5-gpm-boat-rv-p_010168939259,Plumbing > Water Pumps > Utility Pumps > 12 Volt Potable Water Pump ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
20,B — Strong Expansion,RV & Mobile,DDGMSBCGK12VVRA9W001V9,"VEVOR RV Water Pump, 12V DC 5 GPM (18.9 L/min), 4-Chamber Self-Priming Diaphragm Water Pump with Automatic Pressure Switch, 70 PSI Max Pressure, On Demand for RV, Caravan, Marine, Yacht, Car Washing",in stock,483,2.90000,49.41,,49.41,Core RV/mobile water-system component and useful repair/replacement SKU.,RV Water Systems,https://www.vevor.com/diaphragm-pump-c_11958/vevor-rv-water-pump-12v-dc-5-gpm-18-9-l-min-4-chamber-self-priming-diaphragm-water-pump-with-automatic-pressure-switch-70-psi-max-pressure-on-demand-for-rv-caravan-marine-yacht-car-washing-p_010727016793,Plumbing > Water Pumps > Utility Pumps > 12 Volt Potable Water Pump ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
21,B — Strong Expansion,RV & Mobile,WLCZBXX40LDMKIK1C001V9,"VEVOR 12 Volt Refrigerator, 42.3 QT/ 40L Car Fridge, Portable Ultra-Light EPP Freezer, APP Control Electric Compressor, 12V/24V DC, 14℉ to 50℉, for Truck Van RV SUV Boat Travel Camping",in stock,589,9.60000,152.9,,152.9,"Off-grid/RV appliance with clear camping, travel and mobile-living fit.",RV Refrigeration,https://www.vevor.com/compressor-car-refrigerator-c_45058/vevor-12-volt-refrigerator-42-3-qt-40l-car-fridge-portable-ultra-light-epp-freezer-app-control-electric-compressor-12v-24v-dc-14-to-50-for-truck-van-rv-suv-boat-travel-camping-p_010770890832,Outdoors > Outdoor Cooking > Outdoor Kitchens > Car Refrigerator > Compressor Car Refrigerator ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
22,B — Strong Expansion,RV & Mobile,GLCZBXX58LSMGKUC4V1,"VEVOR Portable Car Refrigerator, 12 Volt Car Refrigerator Fridge, 58 L / 61.5 QT Dual Zone Portable Freezer, -4℉-68℉ Adjustable Temperature, Compressor Cooler for Home, Outdoor, Camping, RV, Car",in stock,399,23.40000,337.15,,337.15,"Off-grid/RV appliance with clear camping, travel and mobile-living fit.",RV Refrigeration,https://www.vevor.com/car-refrigerator-c_10723/vevor-portable-car-refrigerator-freezer-compressor-58-l-dual-zone-for-home-car-p_010786174379,Outdoors > Outdoor Cooking > Outdoor Kitchens > Car Refrigerator > Compressor Car Refrigerator ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
23,A — Core Launch,RV & Mobile,12VFCJZB12V1JPF4RV9,"VEVOR RV Portable Macerator Pump, 12V, 12GMP Quick Release RV Waste Pump, RV Sewage Sewer Pump with Detachable Quick Connection Valve Metal Hose Clamp Power Cord, for RV Boat Marine Motorhome Camper",in stock,1498,3.15000,79.9,,79.9,Practical RV waste-system product aligned with service and replacement needs.,RV Waste & Plumbing,https://www.vevor.com/water-pumps-accessories-c_12381/vevor-rv-portable-macerator-pump-12v-12gmp-quick-release-rv-waste-pump-rv-sewage-sewer-pump-with-detachable-quick-connection-valve-metal-hose-clamp-power-cord-for-rv-boat-marine-motorhome-camper-p_010256051288,Plumbing > Dewatering Pump > RV Macerator Pump ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
24,B — Strong Expansion,RV & Mobile,AXLSTCQJDSYKAZ99C001V0,"VEVOR A-Frame Trailer Jack, 5000 lbs Dynamic Load Capacity, Trailer Jack Stand with Handle & Rectangular Footpad, 15-inch Vertical Travel, Suitable for RV, Horse, Utility Trailers, Yacht Trailers",in stock,13125,6.85000,47.9,,47.9,"Useful RV setup, stabilization and maintenance product.",RV Setup & Stabilization,https://www.vevor.com/trailer-jack-c_12130/vevor-a-frame-trailer-jack-bolt-on-trailer-tongue-jack-5000-lbs-15-inch-travel-p_010954504230,Automotive > Shop Equipment > Car Jacks > Trailer Jacks > Manual Trailer Jack Without Wheels ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
25,B — Strong Expansion,RV & Mobile,RVHCWDQ2J500GHGAFV0,"VEVOR RV Slide Out Support Jacks, 5000 lbs Capacity Each Slide Out Stabilizer, Adjusts from 20""-48"" Camper Slide Out Support Jacks, Heavy-duty Slideout Stabilizers for RV, Camper and Travel Trailer",in stock,2388,8.60000,49.9,,49.9,"Useful RV setup, stabilization and maintenance product.",RV Setup & Stabilization,https://www.vevor.com/rv-jacks-stabilizers-c_12255/vevor-rv-slide-out-support-jacks-5000-lbs-capacity-each-slide-out-stabilizer-adjusts-from-20-48-camper-slide-out-support-jacks-heavy-duty-slideout-stabilizers-for-rv-camper-and-travel-trailer-p_010436682231,Automotive > RV Supplies > RV Accessories > RV Stabilizer Jacks > RV Stack Jacks ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
26,B — Strong Expansion,RV & Mobile,XXKLJT124INCLJF0QV0,"VEVOR Camper Levelers, 2 Pcs RV Leveling Blocks, up to 8818.5lbs Camper Wheel Chocks, Max. 4"" Leveling Height Heavy Duty Curved Levelers, RV Camper Leveler Kit with Anti-Slip Mat Carrying Bag Level",in stock,142,4.08000,33.9,,33.9,"Useful RV setup, stabilization and maintenance product.",RV Setup & Stabilization,https://www.vevor.com/trailer-jack-block-c_13715/camper-levelers-2-packs-rv-leveling-blocks-8818-5-lbs-4-leveling-height-p_010702534310,Automotive > RV Supplies > RV Accessories > RV Stabilizer Jacks > RV Leveling Jack Pad ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
27,A — Core Launch,Restoration & Field Service,KQXDQJ3800CFMYP0KV1,"VEVOR Air Scrubber with 3-Stage Filtration, Stackable Negative Air Machine 800 CFM, Air Cleaner with MERV10, Carbon, H13 HEPA, for Home, Industrial and Commercial Use",in stock,1132,18.50000,413.9,,413.9,Direct restoration/mitigation fit for controlled filtration and negative-air work.,Restoration Air Quality,https://www.vevor.com/air-scrubber-c_12068/vevor-air-scrubber-with-3-stage-filtration-stackable-negative-air-machine-800-cfm-air-cleaner-with-merv10-carbon-h13-hepa-for-home-industrial-and-commercial-use-p_010226230633,"Heating, Venting & Cooling > Air Purifiers > Commercial Air Purifiers ",LIVE VEVOR PRICE + STOCK CHECK REQUIRED
28,A — Core Launch,Restoration & Field Service,SYCSQJS35PTL11246001V1,"VEVOR 70 Pints Commercial Dehumidifier with Drain Hose, Portable Crawl Space Dehumidifiers for Basement Storage Room Industrial, Auto Defrost/Drainage, Heavy-duty Galvanized Steel, LED Indicate",in stock,561,28.65000,305.91,,305.91,Direct water-mitigation and drying-equipment fit.,Water Mitigation & Drying,https://www.vevor.com/commercial-dehumidifier-c_10368/vevor-70-pints-commercial-dehumidifier-with-hose-auto-defrost-for-crawl-space-p_010530388796,"Heating, Venting & Cooling > Dehumidifiers > Crawl Space Commercial Dehumidifier ",LIVE VEVOR PRICE + STOCK CHECK REQUIRED
29,A — Core Launch,Restoration & Field Service,FXZXDMGFJ1800S8XLV1,"VEVOR Floor Blower, 1/2 HP, 2600 CFM Air Mover for Drying and Cooling, Portable Carpet Dryer Fan with 4 Blowing Angles and Time Function, for Janitorial, Home, Commercial, Industrail Use, ETL Listed",in stock,529,12.30000,144.9,,144.9,Direct structural-drying and restoration field-equipment fit.,Water Mitigation & Drying,https://www.vevor.com/floor-blower-c_12069/vevor-floor-blower-1-2-hp-2600-cfm-air-mover-for-drying-and-cooling-portable-carpet-dryer-fan-with-4-blowing-angles-and-time-function-for-janitorial-home-commercial-industrail-use-etl-listed-p_010121574293,"Heating, Venting & Cooling > Fans > Blower Fans ",LIVE VEVOR PRICE + STOCK CHECK REQUIRED
30,A — Core Launch,Restoration & Field Service,FYHWRXYWWWIFINPTKV0,"VEVOR Thermal Imaging Camera, 320 x 240 Pixels Super Resolution, 25Hz Refresh Rate Infrared Camera with -4 to 752°F Temperature Range, 32G Built-in SD Card, and Rechargeable Li-ion Battery",in stock,878,1.15000,189.99,,189.99,"Useful inspection tool for moisture investigation, electrical checks and diagnostics.",Inspection & Diagnostics,https://www.vevor.com/thermal-imaging-camera-c_11961/vevor-infrared-thermal-imager-thermal-camera-ir-resolution-240x180-2-8-lcd-screen-p_010117537355,Electrical > Electrical Tools > Electrical Testers > Specialty Meters > Handheld Thermal Imager ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
31,A — Core Launch,Restoration & Field Service,QXNKT35055000ENIOV0,"VEVOR Triple Lens Borescope, 5"" IPS Screen Inspection Camera with Lights, 8X Zoom 1080P HD Split Screen, 10 LED Lights Scope Endoscope Camera for Automotive, Plumbing(16.5FT Cable, 32GB Card)",in stock,1915,0.80000,66.9,,66.9,"Useful inspection tool for walls, plumbing, automotive and hard-to-access areas.",Inspection & Diagnostics,https://www.vevor.com/pipe-inspection-camera-c_11031/vevor-triple-lens-industrial-endoscope-5-ips-screen-borescope-inspection-camera-with-lights-split-screen-8x-zoom-ip67-waterproof-drain-snake-camera-for-auto-plumbing-16-5ft-cable-32gb-card--p_010356436904,Tools > Power Tools > Inspection Cameras > Borescope ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
32,A — Core Launch,Restoration & Field Service,D25FT14IN20AHOGLOV1,"VEVOR 12V Electric Drain Auger, 25FT Cordless Plumbing Snake Auto Feed, Pipeline Snake Drain Clog Remover with Power Drill for 3/4""-2"" Pipes, 2.0Ah Battery and Charger Included",in stock,1734,4.30000,59.9,,59.9,Useful plumbing/service tool for common maintenance and repair calls.,Plumbing Service Tools,https://www.vevor.com/drain-cleaner-machine-c_10849/vevor-12v-electric-drain-auger-25ft-cordless-plumbing-snake-auto-feed-pipeline-snake-drain-clog-remover-with-power-drill-for-3-4-2-pipes-2-0ah-battery-and-charger-included-p_010140425063,Plumbing > Plumbing Tools > Drain Cleaning Tools > Sewer Machines > Handheld Drain Cleaner Machine ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
33,A — Core Launch,Restoration & Field Service,SDCZQGJTG-02-1.2MV0,"VEVOR Tile Cutter 47 Inch, Manual Tile Cutter All-Steel Frame,Tile Cutting Machine with Laser Guide and Bonus Spare Cutter,Tile Cutter Hand Tool for Precision Cutting Porcelain Ceramic Floor Tiles",in stock,2680,19.60000,121.9,,121.9,"Strong fit with Elevation's tile, flooring and remodel capabilities.",Tile & Flooring Tools,https://www.vevor.com/manual-tile-cutter-c_11186/vevor-tile-cutter-manual-tile-cutter-47-inch-ceramic-porcelaincutting-machine-p_010392204713,Flooring > Flooring Supplies > Flooring Tools > Tile Tools > Tile Cutters ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
34,A — Core Launch,Restoration & Field Service,SYGSZK10L110VIU03V1,"VEVOR Wet Dry Vac, 2.6 Gallon, 2.5 Peak HP, 3 in 1 Portable Shop Vacuum with Blowing Function, Attachments Storage, Perfect for Cleaning Floor, Upholstery, Gap, Car, Black/Yellow, ETL Listed",in stock,3061,4.01000,50.9,,50.9,High-utility cleanup and restoration tool for field service and project work.,Restoration Cleanup,https://www.vevor.com/vacuum-cleaner-c_11407/vevor-wet-dry-vac-shop-vac-2-6-gal-2-5-peak-hp-3-in-1-function-blower-portable-p_010865730493,Tools > Woodworking Tools > Dust Collector Accessories > Dust Extractor ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
35,B — Strong Expansion,Restoration & Field Service,DDG176GPM110VE5SAV1,"VEVOR Electric Pressure Washer, 2000 PSI, Max. 1.76 GPM Power Washer with 20 ft Hose, 5 Quick Connect Nozzles, Foam Cannon, Portable to Clean Patios, Cars, Fences, Driveways, ETL Listed",in stock,1632,9.20000,106.11,,106.11,Strong exterior-cleaning and property-service product with broad customer demand.,Exterior & Property Care,https://www.vevor.com/pressure-washers-c_11609/vevor-electric-pressure-washer-high-pressure-washer-2000psi-1-76gpm-w-hose-reel-p_010106564673,Outdoors > Outdoor Power Equipment > Pressure Washers > Electric Pressure Washers > Corded Electric Pressure Washers > Mobile Electric Pressure Washer > Home Mobile Electric Pressure Washer ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
36,B — Strong Expansion,Restoration & Field Service,QSSZBSL10HP08XUGUV1,"VEVOR Utility Pump, 1 HP, 4000 GPH High Flow, 31 ft Head, Sump Pump Submersible Water Pump Portable Utility Pump with 10 ft Long Power Cord for Draining Water from Swimming Pool Garden Pond Basement",in stock,885,5.70000,54.9,,54.9,Useful water-removal and emergency-response product for home and field work.,Water Removal & Pumps,https://www.vevor.com/sewage-pump-c_11101/vevor-submersible-utility-pump-sump-pump-1-hp-4000-gph-31-ft-head-water-pump-p_010394006737,Plumbing > Water Pumps > Utility Pumps > Submersible Utility Pumps ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
37,C — Supporting,Outdoor & Support,DDHCSJPYXWXYBQ8X5V9,"VEVOR Electric Winch, 13500 lbs Load Capacity, 12V DC Truck Winch with Φ3/8 in x 80 ft Synthetic Rope, Wireless & Wired Remote Control, Suitable for Towing Off-Road SUV Jeep Trailer Boat",in stock,2045,24.10000,284.9,,284.9,"Supporting outdoor/recovery product for trucks, trailers, boats and off-road use.",Outdoor Recovery,https://www.vevor.com/electric-winch-c_11304/vevor-electric-winch-truck-13-500-lb-synthetic-rope-waterproof-remote-control-p_010312706462,Automotive > Exterior Car Accessories > Winches > Electric Winch ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
